embed_dim,hidden_size,json_top_keys,kind,list_item_keys,list_length,model_class,model_name,mtime_iso,n_classes,relative_path,tokenizer_name,top_keys
,,,moe_manifest,"[""name"", ""config"", ""checkpoint"", ""modality""]",5,,,2026-04-04T16:05:46+00:00,,Code\thesis\config\moe\experts_all_data_2label.json,,
,,,moe_manifest,"[""name"", ""config"", ""checkpoint"", ""modality""]",2,,,2026-04-04T16:05:44+00:00,,Code\thesis\config\moe\experts_all_data_2label_with_distilbert.json,,
,,,moe_manifest,"[""name"", ""config"", ""checkpoint"", ""modality""]",5,,,2026-04-04T16:05:48+00:00,,Code\thesis\config\moe\experts_all_data_3label.json,,
,,,moe_manifest,"[""name"", ""config"", ""checkpoint"", ""modality""]",2,,,2026-04-04T16:05:44+00:00,,Code\thesis\config\moe\experts_all_data_3label_with_distilbert.json,,
,,,moe_manifest,"[""name"", ""config"", ""checkpoint"", ""modality""]",2,,,2026-04-04T16:12:44+00:00,,Code\thesis\config\moe\experts_smoke_2label.json,,
,,,moe_manifest,"[""name"", ""config"", ""checkpoint"", ""modality""]",2,,,2026-04-04T16:12:44+00:00,,Code\thesis\config\moe\experts_smoke_3label.json,,
,,"[""FeaturePretrainAutoencoder""]",model_config,,,FeaturePretrainAutoencoder,,2026-03-30T05:59:40+00:00,,Code\thesis\config\pretrain\2_labels\Pretrain_CNN.json,,
,,"[""FeaturePretrainAutoencoder""]",model_config,,,FeaturePretrainAutoencoder,,2026-03-30T05:59:40+00:00,,Code\thesis\config\pretrain\2_labels\Pretrain_FFN.json,,
,,"[""FeaturePretrainAutoencoder""]",model_config,,,FeaturePretrainAutoencoder,,2026-03-30T05:59:40+00:00,,Code\thesis\config\pretrain\2_labels\Pretrain_GRU.json,,
,,"[""FeaturePretrainAutoencoder""]",model_config,,,FeaturePretrainAutoencoder,,2026-03-30T05:59:40+00:00,,Code\thesis\config\pretrain\2_labels\Pretrain_LSTM.json,,
,,"[""FeaturePretrainAutoencoder""]",model_config,,,FeaturePretrainAutoencoder,,2026-03-30T05:59:40+00:00,,Code\thesis\config\pretrain\2_labels\Pretrain_RNN.json,,
,420,"[""LSTMModule""]",model_config,,,LSTMModule,,2026-03-30T05:59:40+00:00,,Code\thesis\config\rnn\2_labels\B10_LSTM.json,,
,,"[""CNNetworks""]",model_config,,,CNNetworks,,2026-03-30T05:59:40+00:00,,Code\thesis\config\rnn\2_labels\B11_CNN_LSTM_v1.json,,
,375,"[""LSTMModule""]",model_config,,,LSTMModule,,2026-03-30T05:59:40+00:00,,Code\thesis\config\rnn\2_labels\B7_BiLSTM.json,,
,275,"[""GRUModule""]",model_config,,,GRUModule,,2026-03-30T05:59:40+00:00,,Code\thesis\config\rnn\2_labels\B8_GRU.json,,
,420,"[""LSTMModule""]",model_config,,,LSTMModule,,2026-03-30T05:59:40+00:00,,Code\thesis\config\rnn\3_labels\B10_LSTM.json,,
,,"[""CNNetworks""]",model_config,,,CNNetworks,,2026-03-30T05:59:40+00:00,,Code\thesis\config\rnn\3_labels\B11_CNN_LSTM_v1.json,,
,375,"[""LSTMModule""]",model_config,,,LSTMModule,,2026-03-30T05:59:40+00:00,,Code\thesis\config\rnn\3_labels\B7_BiLSTM.json,,
,275,"[""GRUModule""]",model_config,,,GRUModule,,2026-03-30T05:59:40+00:00,,Code\thesis\config\rnn\3_labels\B8_GRU.json,,
768,,"[""LLMModule""]",model_config,,,LLMModule,distilbert-base-uncased,2026-04-04T01:03:32+00:00,2,Code\thesis\config\transformers\2_labels\B3_E_DL1_DistilBERT.json,distilbert-base-uncased,
768,,"[""LLMModule""]",model_config,,,LLMModule,distilbert-base-uncased,2026-04-02T12:11:32+00:00,2,Code\thesis\config\transformers\2_labels\B3_E_DL1_DistilBERT_mlp768_1024.json,distilbert-base-uncased,
768,,"[""LLMModule""]",model_config,,,LLMModule,google-bert/bert-base-uncased,2026-04-04T01:03:34+00:00,2,Code\thesis\config\transformers\2_labels\B4_E_DL3_BERT.json,google-bert/bert-base-uncased,
768,,"[""LLMModule""]",model_config,,,LLMModule,google-bert/bert-base-uncased,2026-04-02T12:11:34+00:00,2,Code\thesis\config\transformers\2_labels\B4_E_DL3_BERT_mlp768_1024.json,google-bert/bert-base-uncased,
768,,"[""LLMModule""]",model_config,,,LLMModule,roberta-base,2026-04-04T01:03:34+00:00,2,Code\thesis\config\transformers\2_labels\B5_E_DL2_RoBERTa.json,roberta-base,
