weight_relative,size_bytes,mtime_iso,run_meta_relative,meta_config,meta_n_classes,meta_pretrain_ckpt,meta_data_parquet,meta_layout
checkpoints\mlp_geLU_head_ddp\heads_only\2-labels\all-data\rnn\trainable_head.safetensors,165120,2026-04-04T02:05:54+00:00,checkpoints\mlp_geLU_head_ddp\heads_only\2-labels\all-data\rnn\run_meta.txt,/home/ubuntu/CAPSTONE/TEMP/Code/thesis/config/mlp_gelu_head_ddp/2_labels/FeatEnc_RNN.json,2,/home/ubuntu/CAPSTONE/TEMP/checkpoints/pretrain/pretrain_rnn.safetensors,/home/ubuntu/CAPSTONE/TEMP/data/transformed/all-data.parquet,combined: encoder+head stacked + trainable_head; heads_only: trainable_head copy
checkpoints\mlp_geLU_head_ddp\heads_only\3-labels\all-data\cnn\trainable_head.safetensors,166724,2026-04-04T02:09:32+00:00,checkpoints\mlp_geLU_head_ddp\heads_only\3-labels\all-data\cnn\run_meta.txt,/home/ubuntu/CAPSTONE/TEMP/Code/thesis/config/mlp_gelu_head_ddp/3_labels/FeatEnc_CNN.json,3,/home/ubuntu/CAPSTONE/TEMP/checkpoints/pretrain/pretrain_cnn_3labels.safetensors,/home/ubuntu/CAPSTONE/TEMP/data/transformed/all-data.parquet,combined: encoder+head stacked + trainable_head; heads_only: trainable_head copy
checkpoints\mlp_geLU_head_ddp\heads_only\3-labels\all-data\ffnn\trainable_head.safetensors,166724,2026-04-04T02:13:02+00:00,checkpoints\mlp_geLU_head_ddp\heads_only\3-labels\all-data\ffnn\run_meta.txt,/home/ubuntu/CAPSTONE/TEMP/Code/thesis/config/mlp_gelu_head_ddp/3_labels/FeatEnc_FFN.json,3,/home/ubuntu/CAPSTONE/TEMP/checkpoints/pretrain/pretrain_ffnn_3labels.safetensors,/home/ubuntu/CAPSTONE/TEMP/data/transformed/all-data.parquet,combined: encoder+head stacked + trainable_head; heads_only: trainable_head copy
checkpoints\mlp_geLU_head_ddp\heads_only\3-labels\all-data\gru\trainable_head.safetensors,166724,2026-04-04T02:16:32+00:00,checkpoints\mlp_geLU_head_ddp\heads_only\3-labels\all-data\gru\run_meta.txt,/home/ubuntu/CAPSTONE/TEMP/Code/thesis/config/mlp_gelu_head_ddp/3_labels/FeatEnc_GRU.json,3,/home/ubuntu/CAPSTONE/TEMP/checkpoints/pretrain/pretrain_gru_3labels.safetensors,/home/ubuntu/CAPSTONE/TEMP/data/transformed/all-data.parquet,combined: encoder+head stacked + trainable_head; heads_only: trainable_head copy
checkpoints\mlp_geLU_head_ddp\heads_only\3-labels\all-data\lstm\trainable_head.safetensors,166724,2026-04-04T02:20:04+00:00,checkpoints\mlp_geLU_head_ddp\heads_only\3-labels\all-data\lstm\run_meta.txt,/home/ubuntu/CAPSTONE/TEMP/Code/thesis/config/mlp_gelu_head_ddp/3_labels/FeatEnc_LSTM.json,3,/home/ubuntu/CAPSTONE/TEMP/checkpoints/pretrain/pretrain_lstm_3labels.safetensors,/home/ubuntu/CAPSTONE/TEMP/data/transformed/all-data.parquet,combined: encoder+head stacked + trainable_head; heads_only: trainable_head copy
checkpoints\mlp_geLU_head_ddp\heads_only\3-labels\all-data\rnn\trainable_head.safetensors,166724,2026-04-04T02:23:30+00:00,checkpoints\mlp_geLU_head_ddp\heads_only\3-labels\all-data\rnn\run_meta.txt,/home/ubuntu/CAPSTONE/TEMP/Code/thesis/config/mlp_gelu_head_ddp/3_labels/FeatEnc_RNN.json,3,/home/ubuntu/CAPSTONE/TEMP/checkpoints/pretrain/pretrain_rnn_3labels.safetensors,/home/ubuntu/CAPSTONE/TEMP/data/transformed/all-data.parquet,combined: encoder+head stacked + trainable_head; heads_only: trainable_head copy
checkpoints\moe\gate_experts_all_data_2label.safetensors,2164,2026-04-05T00:45:18+00:00,,,,,,
checkpoints\moe\gate_experts_all_data_3label.safetensors,2164,2026-04-05T03:09:40+00:00,,,,,,
checkpoints\moe\gate_moe_dummy_1k_smoke.safetensors,6296,2026-04-04T12:42:24+00:00,,,,,,
checkpoints\moe\gate_moe_dummy_1k_train.safetensors,6296,2026-04-04T12:52:20+00:00,,,,,,
checkpoints\moe\ml_stack\2-labels\all-data\proc_LinearSVC_DistilBERT.joblib,6875,2026-04-04T01:07:22+00:00,,,,,,
checkpoints\moe\ml_stack\2-labels\all-data\proc_LogisticRegression_DistilBERT.joblib,7007,2026-04-04T01:07:22+00:00,,,,,,
checkpoints\pretrain\pretrain_cnn.safetensors,174184,2026-04-04T01:03:20+00:00,,,,,,
checkpoints\pretrain\pretrain_cnn_3labels.safetensors,174588,2026-04-04T01:03:20+00:00,,,,,,
checkpoints\pretrain\pretrain_ffnn.safetensors,212664,2026-04-04T01:03:20+00:00,,,,,,
checkpoints\pretrain\pretrain_ffnn_3labels.safetensors,213068,2026-04-04T01:03:20+00:00,,,,,,
checkpoints\pretrain\pretrain_gru.safetensors,154320,2026-04-04T01:03:20+00:00,,,,,,
checkpoints\pretrain\pretrain_gru_3labels.safetensors,154724,2026-04-04T01:03:20+00:00,,,,,,
checkpoints\pretrain\pretrain_lstm.safetensors,165200,2026-04-04T01:03:20+00:00,,,,,,
checkpoints\pretrain\pretrain_lstm_3labels.safetensors,165604,2026-04-04T01:03:20+00:00,,,,,,
checkpoints\pretrain\pretrain_rnn.safetensors,183984,2026-04-04T01:03:20+00:00,,,,,,
checkpoints\pretrain\pretrain_rnn_3labels.safetensors,184388,2026-04-04T01:03:20+00:00,,,,,,
checkpoints\transformer\all-MiniLM-L6-v2\model.safetensors,90864176,2026-03-30T06:01:24+00:00,,,,,,
